Time,Temperature,Temperature_0,Temperature_1,Temperature_2,heat C,heat B,heat A
1/15/2021 14:03:55.734,65.708808,65.858632,65.052901,65.438797,66.824538,67.221731,67.667042
1/15/2021 14:03:56.234,65.722417,65.86467,65.074313,65.465253,66.850319,67.242923,67.68915
1/15/2021 14:03:56.734,65.715914,65.91299,65.088917,65.476185,66.848742,67.259004,67.70156
1/15/2021 14:03:57.234,65.737332,65.94771,65.139935,65.484528,66.871446,67.266801,67.72747
1/15/2021 14:03:57.734,65.747112,65.982033,65.156371,65.426861,66.887384,67.277922,67.728043
1/15/2021 14:03:58.234,65.766349,65.9937,65.207272,65.454818,66.886204,67.32421,67.745207
1/15/2021 14:03:58.734,65.808101,66.018475,65.173319,65.521808,66.929171,67.339655,67.764319
1/15/2021 14:03:59.234,65.807728,66.035305,65.154821,65.504,66.940909,67.327085,67.780641
1/15/2021 14:03:59.734,65.781304,66.037784,65.159365,65.444538,66.953221,67.365538,67.778735
1/15/2021 14:04:00.234,65.811426,66.015148,65.173433,65.467781,66.964473,67.374954,67.811079
1/15/2021 14:04:00.734,65.840068,65.994931,65.137839,65.50652,66.973467,67.387616,67.812964
1/15/2021 14:04:01.234,65.875891,66.03855,65.157378,65.531105,66.986409,67.405143,67.821318
1/15/2021 14:04:01.734,65.879105,66.07594,65.170917,65.568959,67.021174,67.40161,67.830396
1/15/2021 14:04:02.234,65.865884,66.08474,65.213675,65.583495,67.016721,67.412521,67.855064
1/15/2021 14:04:02.734,65.894548,66.098034,65.232248,65.530492,67.051569,67.409531,67.857118
1/15/2021 14:04:03.234,65.900398,66.123151,65.278708,65.574196,67.047842,67.431257,67.878155
1/15/2021 14:04:03.734,65.898042,66.134099,65.302507,65.593174,67.061219,67.448302,67.889007
1/15/2021 14:04:04.234,65.918995,66.076375,65.246834,65.577194,67.055424,67.454432,67.903161
1/15/2021 14:04:04.734,65.952521,66.079393,65.259718,65.626552,67.068837,67.491691,67.90098
1/15/2021 14:04:05.234,65.92204,66.063824,65.20606,65.610292,67.094318,67.477271,67.904675
1/15/2021 14:04:05.734,65.913543,66.06886,65.242988,65.651804,67.081201,67.490754,67.930997
1/15/2021 14:04:06.234,65.870169,66.122513,65.216813,65.675184,67.090295,67.503516,67.932293
1/15/2021 14:04:06.734,65.853192,66.080307,65.171843,65.594202,67.108397,67.500062,67.93205
1/15/2021 14:04:07.234,65.941413,66.114848,65.126551,65.567727,67.116127,67.519257,67.95216
1/15/2021 14:04:07.734,65.950662,66.122491,65.114924,65.605882,67.13206,67.53152,67.961211
1/15/2021 14:04:08.234,65.981354,66.141483,65.122908,65.620289,67.115405,67.524956,67.958775
1/15/2021 14:04:08.734,65.950718,66.151677,65.139529,65.677512,67.125851,67.539987,67.952023
1/15/2021 14:04:09.234,65.930052,66.179409,65.159698,65.756403,67.125261,67.521053,67.945243
1/15/2021 14:04:09.734,65.921239,66.186653,65.183463,65.777411,67.119793,67.532095,67.947571
1/15/2021 14:04:10.234,65.919855,66.132744,65.198597,65.772128,67.147978,67.550647,67.993177
1/15/2021 14:04:10.734,65.927654,66.144441,65.258937,65.739783,67.158097,67.571771,67.97578
1/15/2021 14:04:11.234,65.972825,66.190756,65.274291,65.711549,67.155321,67.560282,67.997308
1/15/2021 14:04:11.734,65.986239,66.191324,65.287019,65.713035,67.175816,67.570228,68.002897
1/15/2021 14:04:12.234,65.996452,66.230207,65.223587,65.618871,67.186465,67.583169,67.992221
1/15/2021 14:04:12.734,66.029666,66.215711,65.229277,65.589232,67.192599,67.571417,68.018072
1/15/2021 14:04:13.234,66.036516,66.176458,65.209285,65.589888,67.174574,67.582743,67.99363
1/15/2021 14:04:13.734,66.001903,66.172582,65.209309,65.569725,67.193378,67.591915,68.017704
1/15/2021 14:04:14.234,65.95177,66.170161,65.229371,65.606761,67.210987,67.583383,68.007339
1/15/2021 14:04:14.734,65.938093,66.206716,65.267771,65.660986,67.189266,67.596518,68.027809
1/15/2021 14:04:15.234,65.967626,66.239687,65.354894,65.657716,67.208011,67.620763,68.051823
1/15/2021 14:04:15.734,65.93636,66.254755,65.423421,65.688157,67.218612,67.604765,68.044997
1/15/2021 14:04:16.234,65.989338,66.259791,65.397028,65.653508,67.228874,67.604478,68.064887
1/15/2021 14:04:16.734,66.059047,66.26665,65.346993,65.593153,67.221081,67.651718,68.061223
1/15/2021 14:04:17.234,66.052242,66.272002,65.328715,65.649433,67.230445,67.631272,68.081591
1/15/2021 14:04:17.734,66.07075,66.279269,65.330708,65.677806,67.229241,67.647495,68.07947
1/15/2021 14:04:18.234,66.107151,66.280347,65.342797,65.750915,67.262024,67.641753,68.089319
1/15/2021 14:04:18.734,66.095952,66.337497,65.301083,65.836978,67.253653,67.67351,68.099292
1/15/2021 14:04:19.234,66.096845,66.33518,65.339143,65.892007,67.279599,67.670334,68.108726
1/15/2021 14:04:19.734,66.079018,66.362308,65.372932,65.984055,67.270057,67.68739,68.098497
1/15/2021 14:04:20.234,66.12457,66.376893,65.365955,65.962399,67.296673,67.698871,68.12488
1/15/2021 14:04:20.734,66.16115,66.383195,65.386942,65.998522,67.307489,67.706476,68.147158
1/15/2021 14:04:21.234,66.124806,66.338367,65.448093,65.916987,67.318272,67.699143,68.156792
1/15/2021 14:04:21.734,66.198921,66.378074,65.485515,65.86265,67.327974,67.721915,68.176122
1/15/2021 14:04:22.234,66.205052,66.380306,65.502889,65.738257,67.347083,67.729099,68.179179
1/15/2021 14:04:22.734,66.215677,66.329462,65.507551,65.68901,67.339299,67.73599,68.181484
1/15/2021 14:04:23.234,66.214556,66.284993,65.563782,65.659214,67.358917,67.749415,68.195367
1/15/2021 14:04:23.734,66.177801,66.311313,65.552256,65.692422,67.345741,67.76857,68.188613
1/15/2021 14:04:24.234,66.178033,66.34916,65.52427,65.74702,67.378097,67.772721,68.206061
1/15/2021 14:04:24.734,66.148737,66.357939,65.47157,65.722998,67.373334,67.76429,68.209323
1/15/2021 14:04:25.234,66.151117,66.379355,65.435867,65.770569,67.388755,67.771456,68.223825
1/15/2021 14:04:25.734,66.160294,66.377752,65.418663,65.76713,67.358068,67.78319,68.211485
1/15/2021 14:04:26.234,66.181228,66.418639,65.422395,65.794949,67.387723,67.764233,68.2299
1/15/2021 14:04:26.734,66.206631,66.427067,65.404214,65.790074,67.383964,67.789364,68.225453
1/15/2021 14:04:27.234,66.233555,66.456283,65.449267,65.79842,67.398228,67.796749,68.226877
1/15/2021 14:04:27.734,66.242586,66.459809,65.435129,65.830162,67.407828,67.823774,68.25046
1/15/2021 14:04:28.234,66.221237,66.436856,65.437635,65.85813,67.404379,67.819866,68.249534
1/15/2021 14:04:28.734,66.235626,66.431061,65.440326,65.827329,67.414275,67.815087,68.256447
1/15/2021 14:04:29.234,66.188152,66.45125,65.389402,65.825959,67.433312,67.819219,68.24453
1/15/2021 14:04:29.734,66.147059,66.45259,65.383172,65.792662,67.404818,67.81893,68.265105
1/15/2021 14:04:30.234,66.1533,66.451491,65.374502,65.790645,67.433723,67.825362,68.262136
1/15/2021 14:04:30.734,66.16731,66.413896,65.389433,65.820026,67.429564,67.833585,68.251329
1/15/2021 14:04:31.234,66.145398,66.428911,65.415694,65.856836,67.436011,67.836592,68.267634
1/15/2021 14:04:31.734,66.172951,66.442242,65.449675,65.857552,67.451341,67.841373,68.277459
1/15/2021 14:04:32.234,66.234919,66.452372,65.495367,65.888328,67.442159,67.851223,68.280429
1/15/2021 14:04:32.734,66.269388,66.467573,65.517454,65.872794,67.459949,67.858235,68.310139
1/15/2021 14:04:33.234,66.265716,66.466653,65.547505,65.892748,67.456751,67.872234,68.311297
1/15/2021 14:04:33.734,66.274295,66.47913,65.526721,65.936883,67.486195,67.881498,68.323999
1/15/2021 14:04:34.234,66.276588,66.485782,65.571914,65.965097,67.491842,67.89494,68.318411
1/15/2021 14:04:34.734,66.324528,66.516287,65.593021,65.990331,67.494139,67.888983,68.314748
1/15/2021 14:04:35.234,66.304613,66.534675,65.638025,66.041982,67.520777,67.905071,68.33542
1/15/2021 14:04:35.734,66.295388,66.527974,65.694637,66.073816,67.502012,67.918408,68.357696
1/15/2021 14:04:36.234,66.337741,66.515968,65.765441,65.982902,67.541452,67.906027,68.364574
1/15/2021 14:04:36.734,66.403692,66.572741,65.751801,65.990137,67.535734,67.934014,68.37353
1/15/2021 14:04:37.234,66.336455,66.526609,65.771725,66.030933,67.547022,67.956307,68.38688
1/15/2021 14:04:37.734,66.221098,66.544053,65.78275,65.958003,67.548484,67.958915,68.383527
1/15/2021 14:04:38.234,66.315659,66.570949,65.825709,65.957607,67.556352,67.966094,68.407442
